ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,2-2,Credits_2-2,3-1,Credits_3-1,Total Credits,CGPA,Supplementary Appearances
23035A0225,,,,,8.37,25.5,8.12,21.5,7.23,21.5,68.5,7.93,
23035A0227,,,,,0.0,22.5,6.65,21.5,0.0,15.5,59.5,0.0,***
23035A0228,,,,,7.94,25.5,7.74,21.5,7.49,21.5,68.5,7.74,*
23035A0229,,,,,8.16,25.5,8.4,21.5,7.14,21.5,68.5,7.92,
23035A0230,,,,,0.0,22.5,0.0,18.5,0.0,18.5,59.5,0.0,***
23035A0231,,,,,8.49,25.5,8.33,21.5,7.98,21.5,68.5,8.28,
23035A0232,,,,,8.39,25.5,7.84,21.5,8.19,21.5,68.5,8.15,
23035A0233,,,,,9.12,25.5,8.88,21.5,8.65,21.5,68.5,8.9,
23035A0301,,,,,6.94,25.5,0.0,18.5,7.51,21.5,65.5,0.0,***
23035A0302,,,,,8.24,25.5,7.95,21.5,7.93,21.5,68.5,8.05,*
23035A0303,,,,,7.12,25.5,0.0,18.5,0.0,18.5,62.5,0.0,*
23035A0304,,,,,8.35,25.5,7.23,21.5,7.63,21.5,68.5,7.77,*
23035A0305,,,,,7.51,25.5,7.53,21.5,7.74,21.5,68.5,7.59,**
23035A0306,,,,,8.25,25.5,8.23,21.5,7.79,21.5,68.5,8.1,
23035A0307,,,,,7.33,25.5,0.0,18.5,7.02,21.5,65.5,0.0,***
23035A0308,,,,,7.9,25.5,7.81,21.5,8.0,21.5,68.5,7.9,*
23035A0309,,,,,8.18,25.5,7.21,21.5,7.72,21.5,68.5,7.73,
23035A0310,,,,,7.14,25.5,0.0,15.5,0.0,18.5,59.5,0.0,*
23035A0311,,,,,7.75,25.5,0.0,18.5,7.53,21.5,65.5,0.0,*
23035A0312,,,,,0.0,22.5,7.23,21.5,7.4,21.5,65.5,0.0,*
23035A0313,,,,,8.49,25.5,7.67,21.5,7.47,21.5,68.5,7.91,**
23035A0314,,,,,7.71,25.5,7.49,21.5,7.4,21.5,68.5,7.54,
